case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.conflicting_claim.000007,cell_9c56fb09f205758e0711,7,conflicting_claim,ok,included,509cdcefff70430d3ff58c2fa1c361ee88e4ee86cca679953b5f9b3c6657908a,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000008,cell_46ed8cdfa4126de93826,8,conflicting_claim,ok,included,142e49b91275d388cd0f176b979075583e8cf3c88f5d0f6a6152632ae8c21ca1,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000009,cell_2c4c642f38a802e7100c,9,conflicting_claim,ok,included,4eff1d98f3b9c8eb72c16270643ed754517dbf25ca2bfc9dfa1aa73fe882c0af,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000010,cell_a2db755c46dd09eeebac,10,conflicting_claim,ok,included,f4be4a8b21490055c7ecd6e2e9262ee68859bf23ec8a6655ed2aa5e32c4ab57f,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000013,cell_6a8dc84fb46c1c689538,13,conflicting_claim,ok,included,1f01a60e109cacfa06bc1bd79b5936f096a62d71ba457f84a81f210e8d00e5a6,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000014,cell_df14502acb27c7b8899f,14,conflicting_claim,ok,included,4c5be51eedd7aa694a14a0be3f52fa2446b6255861386f4019e602d6f8744d62,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000015,cell_7c0160d3f6ce4c494143,15,conflicting_claim,ok,included,d63f07c807f6e048d5bd0f27f784af552290b46412f5697b9dec81ad98d7b6f4,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000016,cell_a09fd6f6be80fc019ac1,16,conflicting_claim,ok,included,b8ab54b617b40161dea4efabe260f11fa801192bcefb62055af6cb561b7ac885,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000017,cell_93ed2537b00c10544b48,17,conflicting_claim,ok,included,b064425ca0ee77e811537cc9e967e10177eeffdc72a65dbabb04e5aa5dcb9c0b,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000019,cell_d8b826b32e7885fc9e5f,19,conflicting_claim,ok,included,7fd87877e6b3d29ee04fe85e3e90325476062d011146f8f96e2846be9b13608a,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000020,cell_4dec97529235a597ac23,20,conflicting_claim,ok,included,9caed2f26a8932eede011e60aa17e0abdda3dc58db429a45b70b31dae28900ca,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000023,cell_8a7bc8b62219653965bb,23,conflicting_claim,ok,included,20de5c9bae12e885a2874610cacc81667080fb61fd3aba3b921fd93fa44223c2,1.0,1.0,1.0,-2.0
refund_v2.1n.conflicting_claim.000024,cell_4b4e76e91795078abf29,24,conflicting_claim,ok,included,4d48eaf3c4163c3d0c89dde386f886aeb21bf7670d03655ef88527bb9491b16c,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000027,cell_baa3a06712088064931e,27,conflicting_claim,ok,included,95d9a2d96ca0845b8b60599835deea46f905997f8c65ac439b61431c85bf58f9,0.0,1.0,0.0,-10.0
refund_v2.1n.conflicting_claim.000028,cell_03934b21cf64670b021f,28,conflicting_claim,ok,included,ffbb239337770e46842a43c94775ad56d3e2a53d56934d37de31e04b7665ad38,1.0,1.0,1.0,-2.0
refund_v2.1n.full_refund.000000,cell_b373173a48cf8d71b28d,0,full_refund,ok,included,ccbd1dcdb9ea444e3de77206d3c4b0f2501dcdba1c93a81ba67332796abb671a,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000001,cell_6f66086360fbd73edef8,1,full_refund,ok,included,0fb4787b89bf0d53a7d8e7d01d6e6f4fd90e3d939da4d290e04412e8f94b6c4f,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000002,cell_5c06e3ed4f7ca51f69ff,2,full_refund,ok,included,3211e3c3b9cf709970ad84af1a872948ac68cc74650bf842e9a6cc597b5bea4b,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000004,cell_5c61332f10613e1edb93,4,full_refund,ok,included,75c7f05120424c8bbbbefdec6e86326f235c1bce70765f58ba37d662566b03b9,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000005,cell_f9b426f0b73658cf32c2,5,full_refund,ok,included,39090016cf1a8d282818aafe02e1eae2e1dbde2e3ee223b4b62135d9b3e939ef,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000007,cell_346060840609880663b6,7,full_refund,ok,included,6bb4eacd1502c05658a8f716d708e60b82190abe136b7e347aa1e8d3c6102d20,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000008,cell_7a7a9f6c13021beab63b,8,full_refund,ok,included,4e11c96fcb822bf49a909df6689a07f46033c063363345ee48d83bc8b16479aa,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000009,cell_0249babd333f3d98f290,9,full_refund,ok,included,5dc02fedff8552c27949fb415ca3d657a9abf9cf81ae12b9a167f84282431348,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000010,cell_f1079a31afc7d24c1912,10,full_refund,ok,included,027d80e92fb56ca29f0f718b7b17f01cd5a01b004b49e414f962d6284343bcb4,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000013,cell_9627dacc8ebd307c235e,13,full_refund,ok,included,b747236ce9ed64963c6c4fccc50c274ff37fe9341148e5e9a4b6e83b71db4204,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000014,cell_9587cd79d990282ae300,14,full_refund,ok,included,4f198547426c56f05bdb453669babb1548d1c74923a43d8c16d8f036d653ef07,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000015,cell_863304996c02aa09799b,15,full_refund,ok,included,1b9117fe106cec57ff48a3a6635497806a7b7b207a134431f4960bdbdd750cf3,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000016,cell_41b403ae662e16e2e15d,16,full_refund,ok,included,6c0f03538388a71412d9d6a31854bf70b0a0e43c122d4feb4c94d05f4abf111a,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000017,cell_55566d2db536aa72e4aa,17,full_refund,ok,included,d6bbb567af7a0a7f80fc8aa781d90e5f5c594c535abd4ec92d0801fe5923b096,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000019,cell_66690276ae2c88bbac00,19,full_refund,ok,included,4a0459a62f28a9183d05297f91f600f3cd52f0861f5feffcea64eaf8d1518162,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000020,cell_73b16e488dbac42d412b,20,full_refund,ok,included,039dcd5c86f7cec7039e118cf14202177886c6bcaa6582b218b91413ce74b164,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000023,cell_b9301f1eab7c692916d6,23,full_refund,ok,included,5c4b89dde030cb6ebc9662c0ddea40fdd2010ffa2e03e95071c6ea25ddfdb36e,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000024,cell_17964b486075c58f137d,24,full_refund,ok,included,f9f2ee7def1d3e27587ee3bc2788930754ad862931310e379e2c10eaa29764e7,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000027,cell_4b13df15ae4fe13737d5,27,full_refund,ok,included,bd95a59a7c2556b95d3b5a5d6bb76a57729c8e47d3e9562534acdfa6edad97cf,1.0,1.0,1.0,2.0
refund_v2.1n.full_refund.000028,cell_1953c9d95357d828bbf1,28,full_refund,ok,included,ebc5fbdf2b27aa4ecf01a5517490043bdfa2612322473ad3e8eb1a413bafba26,1.0,1.0,1.0,2.0
refund_v2.1n.liquid_damage_denial.000000,cell_512aea5f09b9dbe61b2e,0,liquid_damage_denial,ok,included,f78123ee18e9e0e5aa9dea57c678521f137bf07e14ff44f71b4eba11b0e5d607,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000001,cell_bd9a3195c8812efba151,1,liquid_damage_denial,ok,included,8d2343ccb6542dc444ade37eb29b1b421abef64dd8c6be8acd5414c991832a8a,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000002,cell_843fdf0b29bc264d9ecb,2,liquid_damage_denial,ok,included,3ccc19450cedb009f954b4aa7153c8c78f11e38caad7e6ebafa120c9bfb2ccde,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000004,cell_63ec266c2c4cca3b65c6,4,liquid_damage_denial,ok,included,6031347a3a1c0cf1c2e1cb2f61ec38f508900615a6992f48981b8c31e30ae2d6,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000005,cell_02c2044ef3a2ac32c4d1,5,liquid_damage_denial,ok,included,a5da448be8f73ea19d1430ad39fb7959ab92e615d26d844289657e155b298552,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000007,cell_465768f374c11799b5b8,7,liquid_damage_denial,ok,included,8592d7f160bc568e172a78fc5241460d72214bf1150c3d5e3c8da8b9d2809d0b,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000008,cell_9be8fac881c4e06cf4ad,8,liquid_damage_denial,ok,included,f8be590fb29e0fb09a595138758057f94b1750d92bc5bdb00ec8b91a47c17c3e,0.0,1.0,0.0,-10.0
refund_v2.1n.liquid_damage_denial.000009,cell_8d08fb847dbd498b1b0c,9,liquid_damage_denial,ok,included,0cb16ccb03c414c4b37a09c6c1d64978dd7e0f2e9617ccc7fcc96eadc27f32a5,1.0,1.0,1.0,-2.0
