campaign_id,model_id,provider,role,action_schema,probe_index,status,failure_condition,failure_status_code,input_tokens,cached_input_tokens,output_tokens,cost_usd,billing_status,route_verified,request_sha256,action_sha256,raw_response_sha256,artifact_sha256
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,tenant,housing_contact_v1,0,passed,,,628,0,66,0.000125928,provider_reported,True,b2b4c7dfe13abab08262345a12de2060eca2926273946b37e826cb72a82f2454,a624f00d0cefaa988811a24f0a9bf3e6f3b7312d902b33e600ff6e2940e7ab40,4206a7b7d5fc14817d6f8e97191926918d2aa574a65e993c17cf23377aeb7d18,82ab6a9af2a15db585313e3c2adf3cc0450c6dfe6cfe815a910b00c739bb4a0b
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,tenant,housing_commit_v1,0,passed,,,640,0,37,0.000113355,provider_reported,True,f76beb19fc8fe154e349bd7f4077b961ae5683eb9c09d266542929bdd706fffc,565509c4519758d3bbe9f24664ec24813c5637f9e48b20d30066e9267bd4d83b,9fe263549a3255f4d16fc3bdbf069dd1c212acec532dd75e7b991fcb14b81de7,a438d7dcd469c90e78714ad00656bbc9f5cb88e392cbe715b3a0074ea8223521
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,landlord,housing_respond_v1,0,passed,,,484,0,43,9.3159e-05,provider_reported,True,bc299e4c3302abfc93b8fcd6eee6411707db5dae81daf4551c21a76b65fd1c2e,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,d316e97752474d121cb4dcaa257bdc92b7f7537385e2483622e72379f12efc98,208c0dd1303c2d696d9679ab9e92fb1c3815ee98f699b4428cd72e84e922aafd
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,tenant,housing_contact_v1,0,passed,,,439,0,471,0.0001914066,provider_reported,True,0c65af6c82f7ad5f60a270e87fc0407cc6e7358bdea74fe3f5cef1bb9a6ddf97,33e85148ee7f81e37b37fc09a499947681365ac93970d798d7f321f5a874d6be,6c9a46d8d84e93e83d8174783a2d25dbd1e1d225c3e2bbefb727872d91c4fc2a,17431dac7acb213c5533d8a8cebd874dd6b404b573a16cc04262d6cde8d0efe0
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,tenant,housing_commit_v1,0,passed,,,473,0,423,0.0001828134,provider_reported,True,cd404b4303162b805d6b608b100ba4226559d49c15cace51cb72f2f5e0aba8b9,565509c4519758d3bbe9f24664ec24813c5637f9e48b20d30066e9267bd4d83b,450434bd1440555d4d35dbf4f6e8a1f288c22305a6938b38367b4ec029ba1a6c,7a8aee7e4dcfe3a260a1b26429a6044a71b0caee2b64b69df3caf6564aa7020f
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,landlord,housing_respond_v1,0,passed,,,211,0,483,0.0001631322,provider_reported,True,3533db9e876e52b11dfd0c024aaa8d64829d469cd19f07bcf23ef80395330b0d,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,2fbee24c05ade30e85b6a85f96d4eef5c98b8789bcf2d49601ed1d9544daab33,e0f829d8d254b52c870c162ccab6e137f7ef25ec3f1244c9bab8bf9e11d7cc2f
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,tenant,housing_contact_v1,1,passed,,,632,0,55,0.000121077,provider_reported,True,8d612f4032dffbf62c4b3491ba53b765d47ecb025ac43e7e23c0b3c2cd21e3c9,baf893809db716798b84847aa3d38aad7929c573ea84a5f029d97f227f4da0c8,0b7c73ac6923f8e7486db8359ca9e5acac8edeb9d0711f93256c7eb5a5e22ed6,3f423a21e299dec5e982a6f82c443c0ec10f1544284864c8f6d3ae5d03bb375b
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,tenant,housing_commit_v1,1,passed,,,645,0,35,0.0001131075,provider_reported,True,fd56ca17e2e422ea2701dbddb87c51fafc22197a7fed90fb93bfe768e69547e2,430e436aa3bca089504f5331f0761f7056adbe48606a7db4c84ac58d1c3b31a6,9ea8f15db79060a9dfa34a1a90b6965679403ae2abf6007572c8cc6bbd11dc8b,565532b8a6c3833f05dea94deaa9f30eca86bf47cd5e2c855c477a420cdb66a7
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,landlord,housing_respond_v1,1,operational_failure,rate_limit,429,,,,,unavailable_on_failed_call,False,7d748349ee0e972bce7b5ce5cbe30cab356fe1a868f69578fd827345f85686ff,,,4806f294cfc09407da938964a53a5ee30ee8ca2bb61b2d5e754a596b1785703a
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,tenant,housing_contact_v1,1,passed,,,439,0,379,0.0001659042,provider_reported,True,1936279eb1b8c9a2e4f3096daad55e30621eb95fe6f4b444278478ef62c15b8a,6e3c540e0054786a241317aad9c6b5a8c6424f1a386304add2fe9636583bd0aa,dba984165d30a378f5adb2f34f0cff7d4f91c246a0096b9039387aa307243ecd,805d935de0a2f48ce7671242d175f5b385daf77ab6ad8c242db8e921e04ed46f
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,tenant,housing_commit_v1,1,passed,,,473,0,119,9.85446e-05,provider_reported,True,7945f1927b4eb2bfbd84c573953cf63d5422e54fea629b622d73bc74a6253e34,430e436aa3bca089504f5331f0761f7056adbe48606a7db4c84ac58d1c3b31a6,eabda45fad5ee423bc7a4aa7f8d4ebb6d9b1a2e3a2d879358c0095d13e287e4d,0217e844cfe2410ee8011db701844aca14aa2ef8bba1e59a17d5a0f415fcd041
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,landlord,housing_respond_v1,1,passed,,,211,0,396,0.0001390158,provider_reported,True,a16e610ddfa0d1beafaa0cd29229141d5a49b2342fa7cf8c7942d5ed8ba3e9f2,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,3cef68aef41752fcd5289555d5332a50bd40051d39e09a1ac409fd4e4f4fda74,461170989411ada85bd04ee42865b5d6174a168c23f2bb2a78091f2ab83c1b1e
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,tenant,housing_contact_v1,2,passed,,,630,64,49,0.0001102068,provider_reported,True,26a4f721d2247847c383b67b73d643e395f8497b220d7f22d82fd6a998b13a89,f464e3602c9461622b077f544a883449d6a6e52e0d232cb030303f82cab9dca3,cd9ec0a1ec2a7b1e5ac40d04ea93eaf00035104374ee7f742c047f73c21492e9,d85326d23a59db555dfaf3a815be6de3579116cd252de3511e6296233bdc30cb
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,tenant,housing_commit_v1,2,passed,,,642,0,36,0.000113157,provider_reported,True,5bb3b6a520cfcbc3e1e3f0cd49bb03ab1048236a4f14f69fe1a6b92b899897e9,565509c4519758d3bbe9f24664ec24813c5637f9e48b20d30066e9267bd4d83b,a967f596fe521a3dc7d49a0a72f46e817a226c1b7f600fe49fdf3e17df9fe032,aff4fdddb5222bceb1b0b1c9855999171063c15f93c7a728b0a3b8d98db6f693
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,NextBit,landlord,housing_respond_v1,2,passed,,,484,0,29,8.6229e-05,provider_reported,True,d5969499165529bcb99b5e0bf1af08c17531fcb79c170d5a82bb3078a4104ac7,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,7aac40f68779d343b269287a67cce873ec101459ca0c6692200f3d77c434c8d2,281a599cded60a8ab870fdab976f0ae3586e6f87f7dbad357a3985f65cbff126
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,tenant,housing_contact_v1,2,passed,,,439,0,3201,0.0009481626,provider_reported,True,54b210bcda0a4fb7d69e1454f3d3a7eb4e6430cf8042b5b194ac55266ae0075c,1fc5af25706a152dab9dd08d596d7a9ab82a9228da01bb726af87c5642318655,2610a384d391cf63ca1dc736d5652253067045c6ba0c568f85ac119b3ec0a809,e2f6002d5c52f675fef30c04287b595b0405a07a26c70d85f874d8884cbfb873
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,tenant,housing_commit_v1,2,passed,,,473,0,528,0.0002119194,provider_reported,True,f1aa695cad2cace8cddd58248a12fa257e5281681103a7ce2b87c928ec4947c6,565509c4519758d3bbe9f24664ec24813c5637f9e48b20d30066e9267bd4d83b,ba35e2b5e067d900f005b00792baaa8a16143fb99c9d7adb3920de12f7bbb6cd,b8b9fd7cd818da99a3cf3e3f602d43524dcf45627db18c514819b71cc885e978
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,Parasail,landlord,housing_respond_v1,2,passed,,,211,0,526,0.0001750518,provider_reported,True,9a47444a3e0cd37958510e9f8c43e3d1961a0f958121b6d39f073bda5c5f7f2f,55405e4a4299103e0e1d81e972e4b3908ddd4f5c6afce4794d488c030f2c2e00,23a9c5c14db128d2ad316e10400f50e182fe0d20e1b5c4be6381d052424266a4,e21b39ed953823468542a8ddc225bcb8226aea286fac1ce87844312df4719142
