campaign_id,model_id,case_slug,seed_count,unique_output_count,exact_repeat_across_seeds,output_sha256s
datacenter_development_terms_public_integrated_v5,mistral32_deepinfra,black-pearl-phased-rent-debt-and-overrun,3,1,True,['8975298c2c99f32b92f1195676fcee67bef897eea4a3dc63ace43f91d61ba50a']
datacenter_development_terms_public_integrated_v5,mistral32_deepinfra,horizon-tranche-acceptance-financing-guarantees,3,1,True,['a56b1cdc972c4ccefb7deb1da35fe8562f09d1fadb4d9f75503f4b186288b813']
datacenter_development_terms_public_integrated_v5,mistral32_deepinfra,polaris-forge-contract-to-cashflow-boundary,3,1,True,['a32eee8284dd9038114f5e794d0a6f3158b742176cd12bbf39b189cb040e474f']
datacenter_development_terms_public_integrated_v5,qwen3_235b_google,black-pearl-phased-rent-debt-and-overrun,3,1,True,['07ddb8b7c40106982acdecf3f37265c8b05420bdf2fefd3e5d1f738e2f6fa15c']
datacenter_development_terms_public_integrated_v5,qwen3_235b_google,horizon-tranche-acceptance-financing-guarantees,3,1,True,['4370d46811099966cd0554665bcf1890af478f8ab5e695ecd79e0921444455d4']
datacenter_development_terms_public_integrated_v5,qwen3_235b_google,polaris-forge-contract-to-cashflow-boundary,3,1,True,['b2af38197420eee078f4c67c2056bcb4670888be87cf47115a4626fe0c6808e0']
