case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified,coalition_decision
datacenter_development_v1.v3.full_stack_jv_006,curated,free_rider,agreement_stack_executed,True,True,23,-55000,-15000,ok,included,b2959811ca891a2d70ae7b7b29adcc5a84cdf842cb4a0f82d77d8b66e3753926,True,best_response
datacenter_development_v1.v3.full_stack_jv_006,curated,fair_share,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,e5a16eed096e4952f1d36958dd997720303567714883987c0db489311eb00105,True,over_funded
datacenter_development_v1.v3.full_stack_jv_007,curated,scripted,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,6e7b6d698843e37ffa7cbfb6c35dfcee321600fbc396c8e087f4b45d10ea60eb,True,best_response
datacenter_development_v1.v3.full_stack_jv_007,curated,walk_away,developer_walk,False,False,1,-100000,-100000,ok,included,84eaa518d29334afaf367e45da4e2ce698d49488447180e2a71b0408c7fee877,True,not_reached
datacenter_development_v1.v3.full_stack_jv_007,curated,adopt_every_counter,agreement_stack_executed,True,True,35,-135000,-35000,ok,included,df57a5bd737c4a7ab7db20fc3175a008047b5f14fda1a086d536e348f1769184,True,under_funded
datacenter_development_v1.v3.full_stack_jv_007,curated,free_rider,agreement_stack_executed,True,True,23,-55000,-15000,ok,included,21cdb7bdb64f5ed8afdbabdb473871a39ff6c3ac93f53db55743e9abf81949f4,True,under_funded
datacenter_development_v1.v3.full_stack_jv_007,curated,fair_share,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,9b6144b7de1aa05694d13161eb22c76e0b8ad3c5c266ccab8a6f1e1fed3b24e3,True,best_response
datacenter_development_v1.v3.full_stack_jv_008,curated,scripted,agreement_stack_executed,True,True,23,-55000,-15000,ok,included,a42a36f96d3e7678b64dc94476c84a1b91915242abd3975e5670ef9c5e57a639,True,best_response
datacenter_development_v1.v3.full_stack_jv_008,curated,walk_away,developer_walk,False,False,1,-100000,-100000,ok,included,fdf074a28d4515004da503253375cb87ffaa46b289ed6598b981234a4cffbdcf,True,not_reached
datacenter_development_v1.v3.full_stack_jv_008,curated,adopt_every_counter,agreement_stack_executed,True,True,35,-135000,-35000,ok,included,221742d504e1c781ddd782742aaaeb4432eaceb6eac967bfaf15042f974e81df,True,best_response
datacenter_development_v1.v3.full_stack_jv_008,curated,free_rider,agreement_stack_executed,True,True,23,-55000,-15000,ok,included,e2aaa9b1ab5bfe75dbe6732b353bcb943576b8ff5160104e40c291b6225ca5c7,True,best_response
datacenter_development_v1.v3.full_stack_jv_008,curated,fair_share,agreement_stack_executed,True,True,23,-73000,-33000,ok,included,5c5ab53f0ccb3c4646d1871c2f7f5a5e375f6e1cb8e943cb93d275cc45f56861,True,over_funded
