campaign_id,model_id,requested_model,canonical_model,provider,quantization,tenant_profile_id,tenant_profile_sha256,landlord_profile_id,landlord_profile_sha256,input_per_million,cached_input_per_million,output_per_million,endpoint_snapshot_sha256,endpoint_status,uptime_last_5m,uptime_last_30m,planned_admission_probes,passed_admission_probes,admission_failures
housing_model_sensitivity_openrouter_alt_v9,glm_53_flash,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,NextBit,fp8,housing_glm_53_flash_nextbit_tenant_v9,719e19bddebd2727f1394cca4afdfd9ab8a1b98237b11ab76f8857481f88cea1,housing_glm_53_flash_nextbit_landlord_v9,083efc43a22d070b29216f2091d05458d796a15f4aae482c48c0ac33118e10ab,0.15,0.03,0.5,17d3abede35cbc440d4a659aaa9e62742a87bbd91a1b83b8ae3d85c362fdd2de,0,96.7563071804824,96.3899578522998,9,8,1
housing_model_sensitivity_openrouter_alt_v9,deepseek_v4_flash,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,Parasail,fp8,housing_deepseek_v4_flash_parasail_tenant_v9,a759e3345b885fcb02a2d4bf73fef7199cfe7f4fe217b1bcdcedbbb901b047ca,housing_deepseek_v4_flash_parasail_landlord_v9,a27f1f828d731f7196dd75c77a21a6364a8f246d151854c09063643dcb128439,0.14,0.05,0.28,bad3cd350aa1d33ec1a6f7b1f3f56b6910c63df741ec6506bec3cadd53309d08,0,99.93017572442686,99.90488358886996,9,9,0
