campaign_id,cell_key,pair_key,case_slug,source_cluster_id,run_plan_id,run_plan_sha256,model_id,profile_id,inference_seed,provider,requested_model,canonical_model,quantization,access_class,license_id,harness,reasoning_effort,max_output_tokens,timeout_seconds,max_action_attempts,sdk_retries,response_cache
datacenter_development_terms_grounded_v1,colo-quote-normalization__qwen3_235b_novita__seed_313003,colo-quote-normalization__seed_313003,colo-quote-normalization,sanitized_archive_datacenter_01,runplan_618de001f804ba46,618de001f804ba46dfa3502d45260e051b051ab627ea0c41d0ccdeffe2f65a0e,qwen3_235b_novita,datacenter_terms_grounded_qwen3_235b_novita_v1,313003,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__mistral32_deepinfra__seed_313001,contract-execution-cutoffs__seed_313001,contract-execution-cutoffs,sanitized_archive_datacenter_01,runplan_f683dd10171fc5ec,f683dd10171fc5eca1bf1500ba74e46f9548ceaee901677f0a8eedcaa51364cb,mistral32_deepinfra,datacenter_terms_grounded_mistral32_deepinfra_v1,313001,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__mistral32_deepinfra__seed_313002,contract-execution-cutoffs__seed_313002,contract-execution-cutoffs,sanitized_archive_datacenter_01,runplan_e4a9aa974d9d19eb,e4a9aa974d9d19eb43c47ce70000dd82a2618a17ca346f09ff4189a3bcf159cc,mistral32_deepinfra,datacenter_terms_grounded_mistral32_deepinfra_v1,313002,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__mistral32_deepinfra__seed_313003,contract-execution-cutoffs__seed_313003,contract-execution-cutoffs,sanitized_archive_datacenter_01,runplan_b5462b860b57038e,b5462b860b57038e3300eba7f6a590252686dabdb17ced1fdf50b60b91f219b7,mistral32_deepinfra,datacenter_terms_grounded_mistral32_deepinfra_v1,313003,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__qwen3_235b_novita__seed_313001,contract-execution-cutoffs__seed_313001,contract-execution-cutoffs,sanitized_archive_datacenter_01,runplan_afbf588957af66ef,afbf588957af66efdbe578c9a1c95e4d10fbcf23142a7fcd9faf5dd11976436b,qwen3_235b_novita,datacenter_terms_grounded_qwen3_235b_novita_v1,313001,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__qwen3_235b_novita__seed_313002,contract-execution-cutoffs__seed_313002,contract-execution-cutoffs,sanitized_archive_datacenter_01,runplan_98868069b84691bb,98868069b84691bb860ce50181da77c9b57795f644fa8de67fcbddba1d4dc031,qwen3_235b_novita,datacenter_terms_grounded_qwen3_235b_novita_v1,313002,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__qwen3_235b_novita__seed_313003,contract-execution-cutoffs__seed_313003,contract-execution-cutoffs,sanitized_archive_datacenter_01,runplan_b05390d1ff2b83fe,b05390d1ff2b83fefe8d48b973da2d0c1f5d8391ab4eb005828c258fd360df74,qwen3_235b_novita,datacenter_terms_grounded_qwen3_235b_novita_v1,313003,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__mistral32_deepinfra__seed_313001,deployment-location-power-reconciliation__seed_313001,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,runplan_a8798c9f23fb9b85,a8798c9f23fb9b85aa9b250599b9fa3fd8468b5b15ec13e6cf9e435a1a41f77f,mistral32_deepinfra,datacenter_terms_grounded_mistral32_deepinfra_v1,313001,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__mistral32_deepinfra__seed_313002,deployment-location-power-reconciliation__seed_313002,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,runplan_0aae5d453b7e8f93,0aae5d453b7e8f938cc643f8e6a70e77e8ed8e588a17365086590300e5d081fa,mistral32_deepinfra,datacenter_terms_grounded_mistral32_deepinfra_v1,313002,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__mistral32_deepinfra__seed_313003,deployment-location-power-reconciliation__seed_313003,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,runplan_3cdce87f47ac1999,3cdce87f47ac19993e53fb0e3a4e85a0928dfe79b460dfa1fc50989f36795bb2,mistral32_deepinfra,datacenter_terms_grounded_mistral32_deepinfra_v1,313003,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__qwen3_235b_novita__seed_313001,deployment-location-power-reconciliation__seed_313001,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,runplan_d763ac80803a19c8,d763ac80803a19c8349e4b17d28e22b4a3e8cbe0c42b9fa7b02ceefc7a13c51d,qwen3_235b_novita,datacenter_terms_grounded_qwen3_235b_novita_v1,313001,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__qwen3_235b_novita__seed_313002,deployment-location-power-reconciliation__seed_313002,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,runplan_78b5f3f04c9b41f3,78b5f3f04c9b41f3598054eda75b43b4c45623863d1bb9f585d052a75293593b,qwen3_235b_novita,datacenter_terms_grounded_qwen3_235b_novita_v1,313002,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__qwen3_235b_novita__seed_313003,deployment-location-power-reconciliation__seed_313003,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,runplan_e1aec35ffbdde2a2,e1aec35ffbdde2a2c99e475c63364a4ce013a5efbe9a0dde69dd769f9c9ae330,qwen3_235b_novita,datacenter_terms_grounded_qwen3_235b_novita_v1,313003,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,open_source,Apache-2.0,minimal_chat/1.0,,1400,180.0,1,0,False
