campaign_id,pair_key,model_id,inference_seed,shared_status,shared_inclusion_status,dedicated_status,dedicated_inclusion_status,pair_reportable,initial_provider_request_match,exposure_qualified,shared_adoption,dedicated_adoption,transition
datacenter_counteroffer_action_schema_v1,mistral32_deepinfra__seed_312601,mistral32_deepinfra,312601,completed,included,operational_failure,excluded,False,True,False,,,missing_pair
datacenter_counteroffer_action_schema_v1,mistral32_deepinfra__seed_312602,mistral32_deepinfra,312602,completed,included,completed,included,True,True,False,0.0,0.0,neither_adopted
datacenter_counteroffer_action_schema_v1,mistral32_deepinfra__seed_312603,mistral32_deepinfra,312603,completed,included,completed,included,True,True,False,0.0,0.0,neither_adopted
datacenter_counteroffer_action_schema_v1,mistral32_deepinfra__seed_312604,mistral32_deepinfra,312604,completed,included,completed,included,True,True,False,0.0,0.0,neither_adopted
datacenter_counteroffer_action_schema_v1,mistral32_deepinfra__seed_312605,mistral32_deepinfra,312605,completed,included,completed,included,True,True,False,0.0,0.0,neither_adopted
datacenter_counteroffer_action_schema_v1,qwen3_235b_novita__seed_312601,qwen3_235b_novita,312601,completed,included,completed,included,True,True,False,0.0,1.0,dedicated_only_adopted
datacenter_counteroffer_action_schema_v1,qwen3_235b_novita__seed_312602,qwen3_235b_novita,312602,completed,included,completed,included,True,True,False,1.0,0.0,shared_only_adopted
datacenter_counteroffer_action_schema_v1,qwen3_235b_novita__seed_312603,qwen3_235b_novita,312603,completed,included,completed,included,True,True,False,0.0,0.0,neither_adopted
datacenter_counteroffer_action_schema_v1,qwen3_235b_novita__seed_312604,qwen3_235b_novita,312604,completed,included,completed,included,True,True,False,0.0,0.0,neither_adopted
datacenter_counteroffer_action_schema_v1,qwen3_235b_novita__seed_312605,qwen3_235b_novita,312605,completed,included,completed,included,True,True,False,0.0,0.0,neither_adopted
