campaign_id,cell_key,run_plan_id,run_plan_sha256,model_id,profile_id,profile_sha256,case_slug,inference_seed,provider,requested_model,canonical_model,quantization,access_class,license_id,harness,reasoning_effort,temperature,max_output_tokens,timeout_seconds,sdk_retries,pricing,source_kind,source_sha256
commercial_state_openweight_variance_v3,glm53_flash__payment-release-reconcile__seed_20260904,runplan_97c8c000472ef54c,97c8c000472ef54cc60184191cf380fe4ecb90a6a39981bdf3dc5f48bd2509d9,glm53_flash,commercial_state_glm53_flash_reka_v3,da0fb05832f8f69cb375ae6ed3d6c8cc96b9ad4c37736152e8e263fc0793177d,payment-release-reconcile,20260904,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,open_source,MIT,minimal_chat/1.0,,0.0,4096,180.0,0,"{""cached_input_per_million"":0.03,""input_per_million"":0.15,""output_per_million"":0.5,""pricing_id"":""openrouter_2026-09-02_glm53_flash_reka""}",sealed_run_plan,97c8c000472ef54cc60184191cf380fe4ecb90a6a39981bdf3dc5f48bd2509d9
commercial_state_openweight_variance_v3,mistral_small4__payment-release-reconcile__seed_20260904,runplan_795516fd40592072,795516fd40592072a0740832e16fd305274f727fa15ee6fc3c827c560f49e779,mistral_small4,commercial_state_mistral_small4_v3,5c3be2167e440f98249ffe88ffb3b0949022940a6c94e53fddd0f40603ddc471,payment-release-reconcile,20260904,Mistral,mistralai/mistral-small-2603,mistralai/mistral-small-2603,unknown,open_source,Apache-2.0,minimal_chat/1.0,,0.0,4096,180.0,0,"{""cached_input_per_million"":0.015,""input_per_million"":0.15,""output_per_million"":0.6,""pricing_id"":""openrouter_2026-09-02_mistral_small4_mistral""}",sealed_run_plan,795516fd40592072a0740832e16fd305274f727fa15ee6fc3c827c560f49e779
commercial_state_openweight_variance_v3,qwen38_flash__payment-release-reconcile__seed_20260904,runplan_d63c2d0758b12fa5,d63c2d0758b12fa5ab75e6eb1103b93b7e41322c76e158ea8cf80688ac3506f6,qwen38_flash,commercial_state_qwen38_flash_v3,a5ecb7aa3abe684017f59173d779d70579872ac4b1bd7cc5fb338b9a67f663c6,payment-release-reconcile,20260904,Alibaba,qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,unknown,open_weight_custom_license,custom,minimal_chat/1.0,,0.0,4096,180.0,0,"{""cached_input_per_million"":0.016,""input_per_million"":0.15,""output_per_million"":0.47,""pricing_id"":""openrouter_2026-09-02_qwen38_flash_alibaba""}",sealed_run_plan,d63c2d0758b12fa5ab75e6eb1103b93b7e41322c76e158ea8cf80688ac3506f6
commercial_state_openweight_variance_v3,minimax_m3__payment-release-reconcile__seed_20260904,runplan_2c741631da1fe557,2c741631da1fe55786719b50cd31e06356da1c6e5d36f4d1bed6b98bd19225ce,minimax_m3,commercial_state_minimax_m3_parasail_v3,cb36c60cc922b458c890dd949dd9b639e218767d97e9b14195f722da54606238,payment-release-reconcile,20260904,Parasail,minimax/minimax-m3,minimax/minimax-m3-20260531,fp8,open_weight_custom_license,custom,minimal_chat/1.0,,0.0,4096,180.0,0,"{""cached_input_per_million"":0.06,""input_per_million"":0.3,""output_per_million"":1.2,""pricing_id"":""openrouter_2026-09-02_minimax_m3_parasail""}",sealed_run_plan,2c741631da1fe55786719b50cd31e06356da1c6e5d36f4d1bed6b98bd19225ce
