case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified
datacenter_development_v1.v2.full_stack_amendment_004,curated,scripted,agreement_stack_executed,True,True,18,-72000,-32000,ok,included,591bc7ef782df8ab9a2d672f2a9e281b17e4fab05f5ca1714377502bd4d4f750,True
datacenter_development_v1.v2.full_stack_amendment_004,curated,walk_away,developer_walk,False,False,1,-100000,-100000,ok,included,c2368735f74ae4cdb37c8edcefc7440ace698b3edda2e6dd2d3cdf8359600fb9,True
datacenter_development_v1.v2.full_stack_amendment_004,curated,adopt_every_counter,agreement_stack_executed,True,True,30,-155000,-55000,ok,included,0009b99096b5fffb5f34192da332f522c43f9ee6b836ec2bb42896dcb713971e,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_001,world_pack,scripted,agreement_stack_executed,True,True,18,58433243406,59929857065,ok,included,e091d3f3eb53229b92aa5e84c473a7f6281ab665869c4be4c7f2680e9e0159b0,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_001,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,01625e705baaf136cf2f3b0fe118ebaca93010c0bc6c3764c879d5670c2d53d6,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,53135044477,55389487680,ok,included,0d5f6e5e10138ec34a245666bd153c3f0aab79f8e3e6983838fdcb7b79e29f8e,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_002,world_pack,scripted,agreement_stack_executed,True,True,18,69488956592,71002797634,ok,included,039ee09befc5a425c74a13e604d967cad2b098d4b8189188e4ddb13f3f52b841,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,b6fc60bee7fc2fc39ab27fe0a655f1537c6a806c50a046e5ee7b438081e544ca,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,66062372395,67914394707,ok,included,eb23c883bcbe20293c22495545f867edaea2fe5d4a4deb15f9531c9ebf558ef2,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_003,world_pack,scripted,agreement_stack_executed,True,True,18,48890625300,50387457607,ok,included,d4ac35dddf3769e5438e3067391db1f1d943444a7dbf1a0438d85e217bf1e1c8,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,fa1dcaaf6bad14eb0514f2d36d8da6f206acdd7c247d15c04309835fd4f3cc96,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,43763848951,45981726690,ok,included,c074a9d10a5899e3b1e45b1b3fb3cacd5efe48c954dd4718d7f3401816e54ca3,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_004,world_pack,scripted,agreement_stack_executed,True,True,18,49363146378,50863583129,ok,included,97079246bddcd53dcc18ad99be070a3865d9f19bbf3b7b3e484f973744e7b275,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,ce85a6031325e98f2ce42e4302231c5c0af9157cfaf8bad84a6a1167b82fd63a,True
datacenter_development_v1.worlds_v4.revenue_without_bankability_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,44474494175,46696291199,ok,included,74d6e37743ef1638064e3cbca396a87b382fdea4cbe7a8e6401ddc07c1adf63e,True
datacenter_development_v1.worlds_v4.delayed_revenue_001,world_pack,scripted,agreement_stack_executed,True,True,18,61244782851,62835859939,ok,included,e12c357dfbff54cc00de9162bf4049f6adc538b2433591c7006a8788103574f1,True
datacenter_development_v1.worlds_v4.delayed_revenue_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,21f5a2e51291658111a2751138332e6314eee27599d003b678dadc771cd0f2f0,True
datacenter_development_v1.worlds_v4.delayed_revenue_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,57796203681,59846068279,ok,included,8e9612287f164162fce21e1e74f18af90c830c8bf5caaa064c47bbe87839457d,True
datacenter_development_v1.worlds_v4.delayed_revenue_002,world_pack,scripted,agreement_stack_executed,True,True,18,53485050890,55089994477,ok,included,72431ed0a59f045f2524e0a77aa8bdb5255680ca2c187d30d8161f3fd43d651d,True
datacenter_development_v1.worlds_v4.delayed_revenue_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,f9e5026636647d7a66d6685b8773fcd6e313011942213d8ae5b0e20346d7b02f,True
datacenter_development_v1.worlds_v4.delayed_revenue_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,48184126078,50624452521,ok,included,e869723435e186ca3c95340efe47b865dd4a347b90ebdc6a7c67c2464d7edfeb,True
datacenter_development_v1.worlds_v4.delayed_revenue_003,world_pack,scripted,agreement_stack_executed,True,True,18,41924087018,43815025732,ok,included,8d4fc4c251012a5d7d028e57a6d7b4e224315bee476297c059e29cc86056e48f,True
datacenter_development_v1.worlds_v4.delayed_revenue_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,2349c98d95410a5e9acabb22b357dbc3eab762cb99ff8c072e13bcc61aee0529,True
datacenter_development_v1.worlds_v4.delayed_revenue_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,36926927890,39690990327,ok,included,ff7f919fb57e5e2a130c21beb7a1830198e85b1134c315151de2c1bb0114a535,True
datacenter_development_v1.worlds_v4.delayed_revenue_004,world_pack,scripted,agreement_stack_executed,True,True,18,67949688301,69135108571,ok,included,ae02f27e0afbaa9531a5bc9e592328f4652f8223e93a857344ad463795c59af9,True
datacenter_development_v1.worlds_v4.delayed_revenue_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,02060f412ab7b11be143079baff7b33c472b89a9dfce432dc662d97188f477cf,True
datacenter_development_v1.worlds_v4.delayed_revenue_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,63442242391,65346800840,ok,included,4efbf128f61dd447028940dfc675279f00751776bbe95f3fac3c372453b66d5b,True
datacenter_development_v1.worlds_v4.restrictive_draws_001,world_pack,scripted,agreement_stack_executed,True,True,18,55665910464,57278850373,ok,included,76e1694433893966781db3477654145385bc84a9392637a8022385b567b1b0a9,True
