case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified,coalition_decision
datacenter_development_v1.worlds_v3.restrictive_draws_001,world_pack,scripted,agreement_stack_executed,True,True,18,55665910464,57278850373,ok,included,ce7e2ec4a9223d562e9aecd4c107eeb12f4eb7997917b847b956cdde37a06c5a,True,
datacenter_development_v1.worlds_v3.restrictive_draws_001,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,67cb29664d7478c75cbfb47eac44cef84d562b2cd8f6a9a8221f650b3910f368,True,
datacenter_development_v1.worlds_v3.restrictive_draws_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,50823430526,53156119075,ok,included,13df969d90900ce483e826346b0c4d19b922d24efd9234fe3077c8fa33223043,True,
datacenter_development_v1.worlds_v3.restrictive_draws_002,world_pack,scripted,agreement_stack_executed,True,True,18,41415316858,43073618930,ok,included,63afe94c854e720850cee209626545046c41b7120510dc525ef9cc99be21178c,True,
datacenter_development_v1.worlds_v3.restrictive_draws_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,6b9f058f7f8551f4550792f5ba358baaefc866899a8575e5962dd56ae36f31e6,True,
datacenter_development_v1.worlds_v3.restrictive_draws_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,37885556741,39879376033,ok,included,62a159500382e064b02d3be1b6842364311927d259e40e0a6705d6313353ca07,True,
datacenter_development_v1.worlds_v3.restrictive_draws_003,world_pack,scripted,agreement_stack_executed,True,True,18,48495585872,50246001660,ok,included,257a2b3ef43449907fbccae7289b52a7cecbba13226cc320e434e90cbc87caad,True,
datacenter_development_v1.worlds_v3.restrictive_draws_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,fc2bbb242de0cedd022acebe24192757d5028edd39321f0a4ef6da15285ba0e9,True,
datacenter_development_v1.worlds_v3.restrictive_draws_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,43398139405,45811039212,ok,included,70dd64e753590515c4d5863c9cd6d5f9ba4b8310fecf02d4578443fe1787eac2,True,
datacenter_development_v1.worlds_v3.restrictive_draws_004,world_pack,scripted,agreement_stack_executed,True,True,18,43956300679,45654378329,ok,included,be868bcf9acd322e313753795423214607d00f3a8760ef47a105e02b5a148a12,True,
datacenter_development_v1.worlds_v3.restrictive_draws_004,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,ea81006de1fa7de810baeea8046fb789384675f0f77c875899a3c5c8568924db,True,
datacenter_development_v1.worlds_v3.restrictive_draws_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,38456975017,40838299894,ok,included,6de9e98bf65769c29b87432515d1a63c6868df141026e80c743131b5f4d29939,True,
datacenter_development_v1.worlds_v3.covenant_cliff_001,world_pack,scripted,agreement_stack_executed,True,True,18,47592214595,48878966170,ok,included,c2db2cc56f5085b7e98d87903e14697d2453df1366d45aef64567ab596a5b29d,True,
datacenter_development_v1.worlds_v3.covenant_cliff_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,4a59ab15372cd346b4320f33576795c130a4518aa500ad60f61904a3030f5d51,True,
datacenter_development_v1.worlds_v3.covenant_cliff_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,42994152492,44926330666,ok,included,24abdeac60beb8274a91afcf447da434465edc456737d39d5d651b95c1f07984,True,
datacenter_development_v1.worlds_v3.covenant_cliff_002,world_pack,scripted,agreement_stack_executed,True,True,18,48209920211,49500713533,ok,included,4b3448439d94f591889b4826138f2d88ec35f82bdf727c2664b6f274ac443be8,True,
datacenter_development_v1.worlds_v3.covenant_cliff_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,6ee2127136d5f8e68116979e5c344974f786fc6967042cf7be67a5850706683f,True,
datacenter_development_v1.worlds_v3.covenant_cliff_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,44913261465,46549092284,ok,included,92aa98d4c62f869e34808f7df7a67827fb1b3ec124b6f5505dcd75155b5cf1cf,True,
