campaign_id,stage,failure_condition,source_artifact,source_artifact_sha256,cost_usd,case_id,attribution
tau3_retail_glm5p2_arena_pipeline_proof_v14,execution,execution_failure,runs/tau3_retail_glm5p2_arena_pipeline_proof_v14/checkpoints/00_tau3.retail.base.14.json,614680d090d865da183b6aeb13af8d984325c01f2768ff21f1d50debf8990ff6,0.0,tau3.retail.base.14,unknown
tau3_retail_glm5p2_arena_pipeline_proof_v15,execution,execution_failure,runs/tau3_retail_glm5p2_arena_pipeline_proof_v15/checkpoints/00_tau3.retail.base.14.json,5d9d65561e1d97fa72e43c05fc352ea9f4b422d578defc972fbaf5f042043d44,0.0,tau3.retail.base.14,unknown
tau3_retail_glm5p2_arena_pipeline_proof_v16,execution,execution_failure,runs/tau3_retail_glm5p2_arena_pipeline_proof_v16/checkpoints/01_tau3.retail.base.10.json,5d937754be529f5fcc4c2defc916d9b6b04dcbac8b5b197db6fdbcdd2d74b17d,0.0,tau3.retail.base.10,unknown
tau3_retail_glm5p2_arena_pipeline_proof_v17,execution,execution_failure,runs/tau3_retail_glm5p2_arena_pipeline_proof_v17/checkpoints/01_tau3.retail.base.10.json,09f3673fcd67573f5204492255a9aaa648e1bf54558efe89fee2bbef461675e4,0.0,tau3.retail.base.10,unknown
tau3_retail_glm5p2_arena_pipeline_proof_v18,execution,combined_cost_budget_exceeded,runs/tau3_retail_glm5p2_arena_pipeline_proof_v18/checkpoints/01_tau3.retail.base.82.json,c64fb558ec5d2ed7c57fccc3a0692cfd2145efbfcd4714a74891ec392319ea83,0.10319052,tau3.retail.base.82,budget
tau3_retail_glm5p2_arena_pipeline_proof_v18,execution,combined_cost_budget_exceeded,runs/tau3_retail_glm5p2_arena_pipeline_proof_v18/checkpoints/02_tau3.retail.base.5.json,a7df25e56cc4209305f2488cb5f0dba1dc3bcbf38fe364b30b0deb47c5d5c9a4,0.09841084,tau3.retail.base.5,budget
tau3_retail_glm5p2_arena_pipeline_proof_v18,execution,combined_cost_budget_exceeded,runs/tau3_retail_glm5p2_arena_pipeline_proof_v18/checkpoints/03_tau3.retail.base.48.json,2db2b84c3f04ed614fb598f2c745ccf578a14b5be809fab297b6064180f82cf5,0.09136524,tau3.retail.base.48,budget
tau3_retail_glm5p2_arena_pipeline_proof_v18,execution,malformed_structured_output,runs/tau3_retail_glm5p2_arena_pipeline_proof_v18/checkpoints/04_tau3.retail.base.84.json,634e921869c6c820f35f960bc62388e9e056199cfa022134d36e84329ed1cb0f,0.07782174,tau3.retail.base.84,model
tau3_retail_glm5p2_arena_pipeline_proof_v19,admission,canary_rejected,runs/tau3_retail_glm5p2_arena_pipeline_proof_v19/checkpoints/canary.json,17249b4f3fde66e637449a1bc659202f90e777ec284403cd7752cb56e4b4981c,0.0,tau3.retail.base.53,environment
