campaign_id,pair_key,model_id,inference_seed,pair_reportable,baseline_status,affirm_only_status,baseline_cell_key,affirm_only_cell_key,baseline_score,affirm_only_score,score_delta,baseline_hard_gate_pass,affirm_only_hard_gate_pass,hard_gate_rescue,hard_gate_regression,baseline_forbidden_selection_count,affirm_only_forbidden_selection_count,forbidden_selection_delta,state_accuracy_delta,amount_accuracy_delta,required_action_recall_delta,required_claim_recall_delta,evidence_coverage_delta
datacenter_development_terms_public_composition_v1,integrated__mistral32_deepinfra__seed_315001,mistral32_deepinfra,315001,True,completed,completed,integrated-baseline__mistral32_deepinfra__seed_315001,integrated-affirm_only__mistral32_deepinfra__seed_315001,0.9,0.9,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_composition_v1,integrated__mistral32_deepinfra__seed_315002,mistral32_deepinfra,315002,True,completed,completed,integrated-baseline__mistral32_deepinfra__seed_315002,integrated-affirm_only__mistral32_deepinfra__seed_315002,0.9,0.9,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_composition_v1,integrated__mistral32_deepinfra__seed_315003,mistral32_deepinfra,315003,True,completed,completed,integrated-baseline__mistral32_deepinfra__seed_315003,integrated-affirm_only__mistral32_deepinfra__seed_315003,0.9,0.9,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_composition_v1,integrated__qwen3_235b_novita__seed_315001,qwen3_235b_novita,315001,True,completed,completed,integrated-baseline__qwen3_235b_novita__seed_315001,integrated-affirm_only__qwen3_235b_novita__seed_315001,0.0,0.0,0.0,False,False,False,False,3,2,-1,0.0,0.0,0.33333333333333337,0.0,0.0
datacenter_development_terms_public_composition_v1,integrated__qwen3_235b_novita__seed_315002,qwen3_235b_novita,315002,True,completed,completed,integrated-baseline__qwen3_235b_novita__seed_315002,integrated-affirm_only__qwen3_235b_novita__seed_315002,0.0,0.0,0.0,False,False,False,False,2,3,1,0.0,0.0,0.33333333333333337,0.0,0.0
datacenter_development_terms_public_composition_v1,integrated__qwen3_235b_novita__seed_315003,qwen3_235b_novita,315003,True,completed,completed,integrated-baseline__qwen3_235b_novita__seed_315003,integrated-affirm_only__qwen3_235b_novita__seed_315003,0.9,0.0,-0.9,True,False,False,True,0,2,2,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_composition_v1,integrated__gptoss120b_coreweave__seed_315001,gptoss120b_coreweave,315001,False,operational_failure,completed,integrated-baseline__gptoss120b_coreweave__seed_315001,integrated-affirm_only__gptoss120b_coreweave__seed_315001,,,,,,,,,,,,,,,
datacenter_development_terms_public_composition_v1,integrated__gptoss120b_coreweave__seed_315002,gptoss120b_coreweave,315002,True,completed,completed,integrated-baseline__gptoss120b_coreweave__seed_315002,integrated-affirm_only__gptoss120b_coreweave__seed_315002,0.0,0.9666666666666668,0.9666666666666668,False,True,True,False,3,0,-3,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_composition_v1,integrated__gptoss120b_coreweave__seed_315003,gptoss120b_coreweave,315003,False,operational_failure,completed,integrated-baseline__gptoss120b_coreweave__seed_315003,integrated-affirm_only__gptoss120b_coreweave__seed_315003,,,,,,,,,,,,,,,
