campaign_id,cell_key,wording_pair_key,composition_key,wording_condition,world_seed,model_id,profile_id,inference_seed,provider,requested_model,canonical_model,quantization,harness,reasoning_effort,max_output_tokens,timeout_seconds,max_action_attempts,sdk_retries,response_cache
datacenter_development_terms_public_composition_v1,integrated-affirm_only__gptoss120b_coreweave__seed_315001,integrated__gptoss120b_coreweave__seed_315001,affirm_only__gptoss120b_coreweave__seed_315001,affirm_only,440005,gptoss120b_coreweave,datacenter_terms_composition_gptoss120b_coreweave_v1,315001,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__gptoss120b_coreweave__seed_315002,integrated__gptoss120b_coreweave__seed_315002,affirm_only__gptoss120b_coreweave__seed_315002,affirm_only,440005,gptoss120b_coreweave,datacenter_terms_composition_gptoss120b_coreweave_v1,315002,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__gptoss120b_coreweave__seed_315003,integrated__gptoss120b_coreweave__seed_315003,affirm_only__gptoss120b_coreweave__seed_315003,affirm_only,440005,gptoss120b_coreweave,datacenter_terms_composition_gptoss120b_coreweave_v1,315003,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__mistral32_deepinfra__seed_315001,integrated__mistral32_deepinfra__seed_315001,affirm_only__mistral32_deepinfra__seed_315001,affirm_only,440005,mistral32_deepinfra,datacenter_terms_composition_mistral32_deepinfra_v1,315001,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__mistral32_deepinfra__seed_315002,integrated__mistral32_deepinfra__seed_315002,affirm_only__mistral32_deepinfra__seed_315002,affirm_only,440005,mistral32_deepinfra,datacenter_terms_composition_mistral32_deepinfra_v1,315002,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__mistral32_deepinfra__seed_315003,integrated__mistral32_deepinfra__seed_315003,affirm_only__mistral32_deepinfra__seed_315003,affirm_only,440005,mistral32_deepinfra,datacenter_terms_composition_mistral32_deepinfra_v1,315003,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__qwen3_235b_novita__seed_315001,integrated__qwen3_235b_novita__seed_315001,affirm_only__qwen3_235b_novita__seed_315001,affirm_only,440005,qwen3_235b_novita,datacenter_terms_composition_qwen3_235b_novita_v1,315001,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__qwen3_235b_novita__seed_315002,integrated__qwen3_235b_novita__seed_315002,affirm_only__qwen3_235b_novita__seed_315002,affirm_only,440005,qwen3_235b_novita,datacenter_terms_composition_qwen3_235b_novita_v1,315002,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-affirm_only__qwen3_235b_novita__seed_315003,integrated__qwen3_235b_novita__seed_315003,affirm_only__qwen3_235b_novita__seed_315003,affirm_only,440005,qwen3_235b_novita,datacenter_terms_composition_qwen3_235b_novita_v1,315003,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__gptoss120b_coreweave__seed_315001,integrated__gptoss120b_coreweave__seed_315001,baseline__gptoss120b_coreweave__seed_315001,baseline,440005,gptoss120b_coreweave,datacenter_terms_composition_gptoss120b_coreweave_v1,315001,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__gptoss120b_coreweave__seed_315002,integrated__gptoss120b_coreweave__seed_315002,baseline__gptoss120b_coreweave__seed_315002,baseline,440005,gptoss120b_coreweave,datacenter_terms_composition_gptoss120b_coreweave_v1,315002,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__gptoss120b_coreweave__seed_315003,integrated__gptoss120b_coreweave__seed_315003,baseline__gptoss120b_coreweave__seed_315003,baseline,440005,gptoss120b_coreweave,datacenter_terms_composition_gptoss120b_coreweave_v1,315003,CoreWeave,openai/gpt-oss-120b,openai/gpt-oss-120b,fp4,minimal_chat/1.0,low,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__mistral32_deepinfra__seed_315001,integrated__mistral32_deepinfra__seed_315001,baseline__mistral32_deepinfra__seed_315001,baseline,440005,mistral32_deepinfra,datacenter_terms_composition_mistral32_deepinfra_v1,315001,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__mistral32_deepinfra__seed_315002,integrated__mistral32_deepinfra__seed_315002,baseline__mistral32_deepinfra__seed_315002,baseline,440005,mistral32_deepinfra,datacenter_terms_composition_mistral32_deepinfra_v1,315002,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__mistral32_deepinfra__seed_315003,integrated__mistral32_deepinfra__seed_315003,baseline__mistral32_deepinfra__seed_315003,baseline,440005,mistral32_deepinfra,datacenter_terms_composition_mistral32_deepinfra_v1,315003,DeepInfra,mistralai/mistral-small-3.2-24b-instruct,mistralai/mistral-small-3.2-24b-instruct-2506,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__qwen3_235b_novita__seed_315001,integrated__qwen3_235b_novita__seed_315001,baseline__qwen3_235b_novita__seed_315001,baseline,440005,qwen3_235b_novita,datacenter_terms_composition_qwen3_235b_novita_v1,315001,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__qwen3_235b_novita__seed_315002,integrated__qwen3_235b_novita__seed_315002,baseline__qwen3_235b_novita__seed_315002,baseline,440005,qwen3_235b_novita,datacenter_terms_composition_qwen3_235b_novita_v1,315002,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
datacenter_development_terms_public_composition_v1,integrated-baseline__qwen3_235b_novita__seed_315003,integrated__qwen3_235b_novita__seed_315003,baseline__qwen3_235b_novita__seed_315003,baseline,440005,qwen3_235b_novita,datacenter_terms_composition_qwen3_235b_novita_v1,315003,Novita,qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-07-25,fp8,minimal_chat/1.0,,900,180.0,1,0,False
